"","topic1","topic2","topic3","project","projecttype"
"frpwiki",0.966412873765356,0.0252710968502341,0.00831602938441003,"frpwiki","Wikipedia"
"frrwiki",0.488630862038803,0.0837063223823595,0.427662815578837,"frrwiki","Wikipedia"
"frwiki",0.980298605788594,0.0014402610500082,0.018261133161398,"frwiki","Wikipedia"
"frwikibooks",0.233783210667014,0.0164580514576435,0.749758737875343,"frwikibooks","Wikibooks"
"frwikiquote",0.997909779223892,0.00116848938839578,0.000921731387712534,"frwikiquote","Wikiquote"
"frwikisource",7.8173759835445e-08,6.31435484439377e-08,0.999999858682692,"frwikisource","Wikisource"
"furwiki",0.166944820321957,0.816207481499371,0.0168476981786723,"furwiki","Wikipedia"
"fywiki",0.985801399614665,0.00197209231088144,0.0122265080744536,"fywiki","Wikipedia"
"ganwiki",0.960414962207302,0.0353662653049634,0.00421877248773452,"ganwiki","Wikipedia"
"gawiki",0.994429637656965,0.00284861561395185,0.002721746729083,"gawiki","Wikipedia"
"gdwiki",0.999110536067018,0.000654108860840533,0.000235355072141329,"gdwiki","Wikipedia"
"glkwiki",0.478594741916398,0.521012943320116,0.000392314763485421,"glkwiki","Wikipedia"
"glwiki",0.998515379634711,0.00109433371016877,0.000390286655120354,"glwiki","Wikipedia"
"glwikiquote",0.322302158191527,0.116395866855902,0.561301974952571,"glwikiquote","Wikiquote"
"glwikisource",0.890182614362909,0.102305804492662,0.00751158114442906,"glwikisource","Wikisource"
"gnwiki",0.830233762890849,0.089868235139169,0.0798980019699821,"gnwiki","Wikipedia"
"gomwiki",0.751513117409968,0.238040113419594,0.010446769170438,"gomwiki","Wikipedia"
"gotwiki",0.970516602542997,0.0261962608459479,0.00328713661105487,"gotwiki","Wikipedia"
"guwiki",0.997639012982531,0.00191477251683026,0.000446214500638588,"guwiki","Wikipedia"
"guwikisource",0.991078925055603,0.00872427107644029,0.00019680386795677,"guwikisource","Wikisource"
"gvwiki",0.921546016907144,0.0627063359009069,0.0157476471919495,"gvwiki","Wikipedia"
"hakwiki",0.953890114074686,0.0279830187741409,0.0181268671511733,"hakwiki","Wikipedia"
"hawiki",0.478747713629606,0.443150804460978,0.0781014819094161,"hawiki","Wikipedia"
"hawwiki",0.538549765663024,0.419701251083747,0.0417489832532289,"hawwiki","Wikipedia"
"hewiki",0.999704879127911,0.000117284385602733,0.000177836486486597,"hewiki","Wikipedia"
"hewikiquote",0.995675699964964,0.00242837865534978,0.0018959213796866,"hewikiquote","Wikiquote"
"hewikisource",0.985716260820262,0.0119061650214608,0.00237757415827753,"hewikisource","Wikisource"
"hifwiki",0.64054736442395,0.359058463064803,0.000394172511247326,"hifwiki","Wikipedia"
"hiwiki",0.985676325078094,0.00112265945920465,0.0132010154627017,"hiwiki","Wikipedia"
"hiwikibooks",0.00078064012490242,0.00078064012490242,0.998438719750195,"hiwikibooks","Wikibooks"
"hiwikiquote",0.998438719750195,0.000780640124902833,0.00078064012490242,"hiwikiquote","Wikiquote"
"howiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"howiki","Wikipedia"
"hrwiki",0.996457231567432,0.00071418499290866,0.00282858343965898,"hrwiki","Wikipedia"
"hrwikiquote",0.883614784707224,0.0503399406453166,0.0660452746474592,"hrwikiquote","Wikiquote"
"hrwikisource",0.593233729210447,0.135252076123097,0.271514194666457,"hrwikisource","Wikisource"
"hsbwiki",0.76873863789925,0.15535348925689,0.0759078728438593,"hsbwiki","Wikipedia"
"htwiki",0.581807536221897,0.114349849939215,0.303842613838889,"htwiki","Wikipedia"
"huwiki",0.885075902822326,0.114443821745954,0.000480275431719435,"huwiki","Wikipedia"
"huwikiquote",0.990046919289459,0.00280253419391701,0.00715054651662394,"huwikiquote","Wikiquote"
"huwikisource",0.930002211171349,0.0184421164063041,0.0515556724223467,"huwikisource","Wikisource"
"hywiki",0.531867559885657,0.468031097883956,0.00010134223038708,"hywiki","Wikipedia"
"hywikiquote",0.994502859947553,0.00215296740158281,0.00334417265086426,"hywikiquote","Wikiquote"
"hywikisource",0.332109871404039,0.0217604407741611,0.6461296878218,"hywikisource","Wikisource"
"iawiki",0.998770207984082,0.000692625651962244,0.000537166363956163,"iawiki","Wikipedia"
"idwiki",0.999275817792544,0.000605136854002823,0.000119045353452818,"idwiki","Wikipedia"
"idwikibooks",0.000780640124902882,0.998438719750194,0.000780640124902816,"idwikibooks","Wikibooks"
"idwikiquote",0.600037080652984,0.342121122082078,0.0578417972649373,"idwikiquote","Wikiquote"
"idwikisource",0.855329212340398,0.097191031500616,0.0474797561589861,"idwikisource","Wikisource"
"iewiki",0.968445826492003,0.0276787050148461,0.00387546849315095,"iewiki","Wikipedia"
"igwiki",0.538549765663024,0.419701251083747,0.0417489832532289,"igwiki","Wikipedia"
"ilowiki",0.963642001734371,0.0157788867777714,0.0205791114878576,"ilowiki","Wikipedia"
"iowiki",0.989563455711779,0.00507509131083158,0.00536145297738976,"iowiki","Wikipedia"
"iswiki",0.998571287257449,0.000599757567181255,0.00082895517536945,"iswiki","Wikipedia"
"iswikibooks",0.998438719750195,0.000780640124902524,0.00078064012490242,"iswikibooks","Wikibooks"
"iswikiquote",0.998438719750195,0.000780640124902532,0.000780640124902722,"iswikiquote","Wikiquote"
"iswikisource",0.978373640232867,0.0111829221812709,0.0104434375858625,"iswikisource","Wikisource"
"itwiki",0.99916280211024,0.000371053868308123,0.000466144021451904,"itwiki","Wikipedia"
"itwikibooks",0.294523350050706,0.035763163865743,0.669713486083551,"itwikibooks","Wikibooks"
"itwikiquote",0.986099881310787,0.00173834518092175,0.0121617735082916,"itwikiquote","Wikiquote"
"itwikisource",1.048498801393e-06,0.999997589252674,1.36224852487519e-06,"itwikisource","Wikisource"
"jamwiki",0.941904723725361,0.0418313456348344,0.0162639306398045,"jamwiki","Wikipedia"
"jawiki",0.999148850847668,0.000492036757322656,0.000359112395009404,"jawiki","Wikipedia"
"jawikibooks",0.728065992225411,0.00967023259112474,0.262263775183464,"jawikibooks","Wikibooks"
"jawikiquote",0.970102958493397,0.0176756246185767,0.0122214168880263,"jawikiquote","Wikiquote"
"jawikisource",0.992003695690472,0.00479555774848385,0.00320074656104416,"jawikisource","Wikisource"
"jbowiki",0.912972170386571,0.0717525090755115,0.0152753205379178,"jbowiki","Wikipedia"
"jvwiki",0.959536417324755,0.00468980922429168,0.0357737734509533,"jvwiki","Wikipedia"
"kaawiki",0.679823074405426,0.307553194412704,0.0126237311818701,"kaawiki","Wikipedia"
"kabwiki",0.86707610709017,0.0562203093826859,0.0767035835271441,"kabwiki","Wikipedia"
"kawiki",0.872960705109477,0.126923599792912,0.000115695097611001,"kawiki","Wikipedia"
"kawikiquote",0.928581466982284,0.0404211823119151,0.0309973507058006,"kawikiquote","Wikiquote"
"kbdwiki",0.00039068034453207,0.999372407818835,0.000236911836632531,"kbdwiki","Wikipedia"
"kgwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"kgwiki","Wikipedia"
"kiwiki",0.0704001783741374,0.894498208729227,0.0351016128966353,"kiwiki","Wikipedia"
"kjwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"kjwiki","Wikipedia"
"kkwiki",0.992006153353001,0.00721629429321045,0.000777552353788759,"kkwiki","Wikipedia"
"klwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"klwiki","Wikipedia"
"kmwiki",0.768433104102965,0.050862401382569,0.180704494514466,"kmwiki","Wikipedia"
"knwiki",0.98880530038891,0.00570758550454048,0.00548711410654907,"knwiki","Wikipedia"
"koiwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"koiwiki","Wikipedia"
"kowiki",0.998642380309482,0.000686411008794279,0.000671208681723931,"kowiki","Wikipedia"
"kowikibooks",0.998438719750194,0.000780640124902671,0.000780640124903255,"kowikibooks","Wikibooks"
"kowikiquote",0.952065301259056,0.0342596122789764,0.0136750864619675,"kowikiquote","Wikiquote"
"kowikisource",0.988769398087125,0.00297258336854718,0.00825801854432734,"kowikisource","Wikisource"
"krcwiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"krcwiki","Wikipedia"
"kshwiki",0.753442692545683,0.222365968743379,0.0241913387109379,"kshwiki","Wikipedia"
"kswiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"kswiki","Wikipedia"
"kuwiki",0.987998022059643,0.00925922152644227,0.00274275641391486,"kuwiki","Wikipedia"
"kuwikiquote",0.478747713629606,0.443150804460978,0.0781014819094161,"kuwikiquote","Wikiquote"
"kvwiki",0.563123732068655,0.383643978957893,0.0532322889734513,"kvwiki","Wikipedia"
"kwwiki",0.773040480704878,0.0224108941026383,0.204548625192483,"kwwiki","Wikipedia"
"kywiki",0.99770171427055,0.00148222542749901,0.000816060301951138,"kywiki","Wikipedia"
"ladwiki",0.969942171332748,0.027816087308325,0.00224174135892702,"ladwiki","Wikipedia"
"lawiki",0.995933064325163,0.000953966510871406,0.00311296916396608,"lawiki","Wikipedia"
"lawikiquote",0.716271433812957,0.247972582219663,0.0357559839673791,"lawikiquote","Wikiquote"
"lawikisource",0.991571602426498,0.00300132437930869,0.00542707319419341,"lawikisource","Wikisource"
"lbewiki",0.897006660790259,0.0764078206734828,0.0265855185362578,"lbewiki","Wikipedia"
"lbwiki",0.993181100205522,0.00337771654896344,0.00344118324551485,"lbwiki","Wikipedia"
"lezwiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"lezwiki","Wikipedia"
"lgwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"lgwiki","Wikipedia"
"lijwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"lijwiki","Wikipedia"
"liwiki",0.944243241869364,0.0503606659614557,0.00539609216918029,"liwiki","Wikipedia"
"liwikiquote",0.765337069235482,0.139043272569295,0.0956196581952226,"liwikiquote","Wikiquote"
"lmowiki",0.941271954876981,0.0276112481556708,0.0311167969673476,"lmowiki","Wikipedia"
"lnwiki",0.538549765663024,0.419701251083747,0.0417489832532289,"lnwiki","Wikipedia"
"lowiki",0.870643649693992,0.0786501566000702,0.0507061937059382,"lowiki","Wikipedia"
"lrcwiki",0.779237188871863,0.0758500395930092,0.144912771535128,"lrcwiki","Wikipedia"
"ltwiki",0.990900356948833,0.0027832811423764,0.00631636190879054,"ltwiki","Wikipedia"
"ltwikibooks",0.00078064012490242,0.00078064012490242,0.998438719750195,"ltwikibooks","Wikibooks"
"ltwikiquote",0.745099898391059,0.213513235253165,0.0413868663557761,"ltwikiquote","Wikiquote"
"lvwiki",0.983022413025699,0.00109777086900231,0.0158798161052991,"lvwiki","Wikipedia"
"maiwiki",0.926367797381219,0.0595658968201931,0.0140663057985879,"maiwiki","Wikipedia"
"map_bmswiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"map_bmswiki","Wikipedia"
