"","topic1","topic2","project","projecttype"
"pswiki",0.98012618544277,0.0198738145572304,"pswiki","Wikipedia"
"ptwiki",0.997816068830138,0.00218393116986213,"ptwiki","Wikipedia"
"rowiki",0.996468626416345,0.00353137358365475,"rowiki","Wikipedia"
"ruwiki",0.999356735935144,0.000643264064855998,"ruwiki","Wikipedia"
"scnwiki",0.00471698113207586,0.995283018867924,"scnwiki","Wikipedia"
"scowiki",0.991999787749634,0.00800021225036569,"scowiki","Wikipedia"
"shwiki",0.999898855920712,0.000101144079288043,"shwiki","Wikipedia"
"simplewiki",0.991064326119368,0.00893567388063229,"simplewiki","Wikipedia"
"siwiki",0.995283018867925,0.00471698113207547,"siwiki","Wikipedia"
"skwiki",0.99393263283316,0.00606736716683972,"skwiki","Wikipedia"
"slwiki",0.99435616782486,0.00564383217514023,"slwiki","Wikipedia"
"sqwiki",0.984785639107371,0.0152143608926288,"sqwiki","Wikipedia"
"srwiki",0.999923580621462,7.64193785377997e-05,"srwiki","Wikipedia"
"suwiki",0.995283018867924,0.00471698113207563,"suwiki","Wikipedia"
"svwiki",0.997758555958746,0.00224144404125449,"svwiki","Wikipedia"
"szlwiki",0.995283018867924,0.00471698113207573,"szlwiki","Wikipedia"
"tawiki",0.996585705991594,0.00341429400840566,"tawiki","Wikipedia"
"testwiki",0.995283018867924,0.00471698113207564,"testwiki","Wikipedia"
"tgwiki",0.995283018867925,0.00471698113207547,"tgwiki","Wikipedia"
"thwiki",0.990472260511314,0.00952773948868572,"thwiki","Wikipedia"
"tlwiki",0.00471698113207547,0.995283018867925,"tlwiki","Wikipedia"
"trwiki",0.997642917608817,0.00235708239118312,"trwiki","Wikipedia"
"ukwiki",0.78825074535365,0.21174925464635,"ukwiki","Wikipedia"
"urwiki",0.989827456889847,0.0101725431101526,"urwiki","Wikipedia"
"uzwiki",0.979310660609001,0.0206893393909988,"uzwiki","Wikipedia"
"viwiki",0.998394198780076,0.00160580121992375,"viwiki","Wikipedia"
"warwiki",0.995283018867924,0.00471698113207563,"warwiki","Wikipedia"
"wikidatawiki",0.92381028738146,0.0761897126185401,"wikidatawiki","Other"
"wuuwiki",0.995283018867925,0.00471698113207547,"wuuwiki","Wikipedia"
"yiwiki",0.995283018867924,0.00471698113207563,"yiwiki","Wikipedia"
"yowiki",0.999300971998146,0.000699028001853822,"yowiki","Wikipedia"
"zh_min_nanwiki",0.995283018867925,0.00471698113207547,"zh_min_nanwiki","Wikipedia"
"zh_yuewiki",0.992148816188625,0.00785118381137469,"zh_yuewiki","Wikipedia"
"zhwiki",0.998866361908925,0.00113363809107494,"zhwiki","Wikipedia"
